"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3166","test_page_title","tests","Fri Sep 05 13:09:33 UTC 2025","passed","Fri Sep 05 13:09:36 UTC 2025","ExampleTestCase","test_example","",""
"","7864","test_page_title","tests","Fri Sep 05 13:09:35 UTC 2025","passed","Fri Sep 05 13:09:43 UTC 2025","ExampleTestCase","test_example","",""
"","1991","test_send_message","tests","Fri Sep 05 13:09:37 UTC 2025","passed","Fri Sep 05 13:09:39 UTC 2025","ExampleTestCase","test_example","",""
"","9809","test_page_title","tests","Fri Sep 05 13:09:35 UTC 2025","passed","Fri Sep 05 13:09:44 UTC 2025","ExampleTestCase","test_example","",""
"","3833","test_page_title","tests","Fri Sep 05 13:09:31 UTC 2025","passed","Fri Sep 05 13:09:34 UTC 2025","ExampleTestCase","test_example","",""
"","3902","test_page_title","tests","Fri Sep 05 13:09:39 UTC 2025","passed","Fri Sep 05 13:09:43 UTC 2025","ExampleTestCase","test_example","",""
"","2147","test_send_message","tests","Fri Sep 05 13:09:43 UTC 2025","passed","Fri Sep 05 13:09:45 UTC 2025","ExampleTestCase","test_example","",""
"","3637","test_send_message","tests","Fri Sep 05 13:09:43 UTC 2025","passed","Fri Sep 05 13:09:47 UTC 2025","ExampleTestCase","test_example","",""
"","3320","test_send_message","tests","Fri Sep 05 13:09:34 UTC 2025","passed","Fri Sep 05 13:09:38 UTC 2025","ExampleTestCase","test_example","",""
"","7427","test_page_title","tests","Fri Sep 05 13:09:30 UTC 2025","passed","Fri Sep 05 13:09:37 UTC 2025","ExampleTestCase","test_example","",""
"","2982","test_send_message","tests","Fri Sep 05 13:09:36 UTC 2025","failed","Fri Sep 05 13:09:39 UTC 2025","ExampleTestCase","test_example","",""
"","1596","test_send_message","tests","Fri Sep 05 13:09:44 UTC 2025","passed","Fri Sep 05 13:09:46 UTC 2025","ExampleTestCase","test_example","",""
